char_freq_!,word_freq_remove,char_freq_$,capital_run_length_average,word_freq_your,word_freq_free,capital_run_length_longest,capital_run_length_total,word_freq_hp,word_freq_our,word_freq_money,word_freq_000,word_freq_you,word_freq_george,Class
0.778,0.0,0.0,3.756,0.96,0.32,61,278,0.0,0.32,0.0,0.0,1.93,0.0,1
0.372,0.21,0.18,5.114,1.59,0.14,101,1028,0.0,0.14,0.43,0.43,3.47,0.0,1
0.276,0.19,0.184,9.821,0.51,0.06,485,2259,0.0,1.23,0.06,1.16,1.36,0.0,1
0.137,0.31,0.0,3.537,0.31,0.31,40,191,0.0,0.63,0.0,0.0,3.18,0.0,1
0.135,0.31,0.0,3.537,0.31,0.31,40,191,0.0,0.63,0.0,0.0,3.18,0.0,1
0.0,0.0,0.0,3.0,0.0,0.0,15,54,0.0,1.85,0.0,0.0,0.0,0.0,1
0.164,0.0,0.054,1.671,0.64,0.96,4,112,0.0,1.92,0.0,0.0,3.85,0.0,1
0.0,0.0,0.0,2.45,0.0,0.0,11,49,0.0,1.88,0.0,0.0,0.0,0.0,1
0.181,0.3,0.203,9.744,2.0,0.0,445,1257,0.0,0.61,0.15,0.0,1.23,0.0,1
0.244,0.38,0.081,1.729,0.71,0.0,43,749,0.0,0.19,0.0,0.19,1.67,0.0,1
0.462,0.96,0.0,1.312,0.96,0.0,6,21,0.0,0.0,0.0,0.0,3.84,0.0,1
0.663,0.25,0.0,1.243,0.77,0.0,11,184,0.0,0.38,0.0,0.0,1.16,0.0,1
0.786,0.0,0.0,3.728,1.04,0.34,61,261,0.0,0.34,0.0,0.0,2.09,0.0,1
0.0,0.9,0.0,2.083,0.9,0.0,7,25,0.0,0.9,0.0,0.0,2.72,0.0,1
0.357,0.0,0.0,1.971,2.85,5.35,24,205,0.0,0.71,0.0,0.35,3.21,0.0,1
0.572,0.42,0.063,5.659,1.27,1.27,55,249,0.0,1.27,0.42,0.0,1.7,0.0,1
0.428,0.0,0.0,4.652,2.83,0.0,31,107,0.0,0.94,0.0,0.0,1.88,0.0,1
1.975,0.0,0.37,35.461,2.11,0.0,95,461,0.0,0.0,0.0,0.7,0.0,0.0,1
0.455,0.18,0.0,1.32,0.92,0.0,4,70,0.0,1.11,0.0,0.0,3.15,0.0,1
0.055,0.0,0.496,3.509,1.91,0.63,91,186,0.0,1.59,0.63,0.31,2.22,0.0,1
0.729,0.0,0.0,3.833,0.0,0.0,9,23,0.0,0.0,0.0,0.0,0.0,0.0,1
0.25,0.15,0.046,2.569,1.57,0.0,66,2259,0.0,0.76,0.0,0.05,2.09,0.0,1
0.809,0.0,0.0,4.857,0.0,2.94,12,34,0.0,2.94,0.0,0.0,0.0,0.0,1
0.667,0.0,0.0,1.131,1.75,1.16,5,69,0.0,1.16,0.0,0.0,1.16,0.0,1
0.392,0.0,0.196,5.466,0.0,0.0,22,82,0.0,0.0,0.0,0.0,0.0,0.0,1
0.25,0.15,0.046,2.565,1.57,0.0,66,2258,0.0,0.76,0.0,0.05,2.09,0.0,1
0.392,0.0,0.196,5.466,0.0,0.0,22,82,0.0,0.0,0.0,0.0,0.0,0.0,1
0.368,1.66,0.0,2.611,0.0,0.0,12,47,0.0,0.0,3.33,0.0,3.33,0.0,1
0.352,0.0,0.0,4.0,0.0,3.33,11,36,0.0,0.0,0.0,0.0,0.0,0.0,1
0.091,0.65,0.0,2.687,1.3,0.65,66,129,0.0,0.65,0.65,0.0,1.3,0.0,1
0.886,0.0,0.0,1.966,0.0,0.0,10,59,0.0,0.0,0.0,0.0,3.52,0.0,1
2.112,0.0,0.0,3.909,0.0,3.03,11,43,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.091,1.39,2.7,0.27,11,89,0.0,1.89,0.27,0.0,3.51,0.0,1
0.0,0.0,0.302,1.7,0.0,0.0,5,17,0.0,0.0,0.0,0.0,4.83,0.0,1
0.0,0.0,0.0,3.826,0.68,0.0,30,264,0.68,0.0,0.0,0.0,2.04,0.0,1
1.543,0.0,0.0,2.777,0.0,0.0,6,25,0.0,0.0,0.0,0.0,5.12,0.0,1
0.873,0.0,0.0,4.142,0.0,2.94,12,29,0.0,2.94,0.0,0.0,0.0,0.0,1
0.488,0.48,0.244,5.431,2.43,0.48,78,239,0.0,1.46,0.0,0.48,2.43,0.0,1
0.963,0.0,0.0,3.1,0.97,0.48,61,186,0.0,0.48,0.0,0.0,1.46,0.0,1
0.75,0.0,0.0,3.851,1.25,0.41,121,285,0.0,0.41,0.0,0.0,2.08,0.0,1
0.207,0.0,0.207,2.132,0.61,0.0,30,226,0.0,0.61,0.61,0.3,2.76,0.0,1
0.671,0.0,0.0,4.0,0.0,2.94,12,28,0.0,2.94,0.0,0.0,0.0,0.0,1
0.711,0.0,0.0,4.0,0.0,2.94,12,28,0.0,2.94,0.0,0.0,0.0,0.0,1
0.426,0.18,0.0,1.283,0.92,0.0,4,68,0.0,1.11,0.0,0.0,3.15,0.0,1
0.813,0.26,0.036,2.145,0.26,0.26,38,339,0.0,0.52,0.0,0.0,1.82,0.0,1
1.318,0.0,0.068,5.301,1.51,0.0,130,774,0.0,0.45,0.3,0.0,4.07,0.0,1
0.01,0.06,0.167,1.733,1.09,0.0,12,442,0.0,1.57,0.06,0.84,4.54,0.0,1
0.17,0.0,0.0,1.468,1.99,4.97,8,94,0.0,0.0,0.0,0.49,3.48,0.0,1
0.325,0.05,0.756,5.891,1.46,0.25,193,3040,0.0,0.05,0.36,1.05,3.22,0.0,1
0.278,0.06,0.23,3.887,0.66,0.26,40,898,0.0,0.0,0.26,0.19,3.51,0.0,1
0.0,0.0,0.0,2.75,3.84,0.0,12,33,0.0,1.92,0.0,0.0,1.92,0.0,1
0.498,0.73,0.332,3.254,2.19,1.09,30,179,0.0,0.0,0.0,1.83,2.19,0.0,1
0.244,0.38,0.071,1.732,0.7,0.0,43,750,0.0,0.19,0.0,0.19,1.67,0.0,1
0.198,0.0,0.596,3.833,1.26,0.0,17,69,0.0,0.0,1.26,0.0,0.0,0.0,1
0.5,0.73,0.333,3.259,2.2,1.1,30,176,0.0,0.0,0.0,1.83,2.2,0.0,1
1.478,0.0,0.0,2.0,2.17,1.08,30,106,0.0,0.0,0.0,0.0,1.08,0.0,1
0.615,1.04,0.061,3.318,2.09,0.0,59,146,0.0,0.0,0.0,0.0,3.66,0.0,1
0.0,0.0,0.0,3.642,5.06,0.0,8,51,0.0,0.0,0.0,0.0,2.53,0.0,1
