name,role,type,demographic,description,units,missing_values
word_freq_make,Feature,Continuous,,,,no
word_freq_address,Feature,Continuous,,,,no
word_freq_all,Feature,Continuous,,,,no
word_freq_3d,Feature,Continuous,,,,no
word_freq_our,Feature,Continuous,,,,no
word_freq_over,Feature,Continuous,,,,no
word_freq_remove,Feature,Continuous,,,,no
word_freq_internet,Feature,Continuous,,,,no
word_freq_order,Feature,Continuous,,,,no
word_freq_mail,Feature,Continuous,,,,no
word_freq_receive,Feature,Continuous,,,,no
word_freq_will,Feature,Continuous,,,,no
word_freq_people,Feature,Continuous,,,,no
word_freq_report,Feature,Continuous,,,,no
word_freq_addresses,Feature,Continuous,,,,no
word_freq_free,Feature,Continuous,,,,no
word_freq_business,Feature,Continuous,,,,no
word_freq_email,Feature,Continuous,,,,no
word_freq_you,Feature,Continuous,,,,no
word_freq_credit,Feature,Continuous,,,,no
word_freq_your,Feature,Continuous,,,,no
word_freq_font,Feature,Continuous,,,,no
word_freq_000,Feature,Continuous,,,,no
word_freq_money,Feature,Continuous,,,,no
word_freq_hp,Feature,Continuous,,,,no
word_freq_hpl,Feature,Continuous,,,,no
word_freq_george,Feature,Continuous,,,,no
word_freq_650,Feature,Continuous,,,,no
word_freq_lab,Feature,Continuous,,,,no
word_freq_labs,Feature,Continuous,,,,no
word_freq_telnet,Feature,Continuous,,,,no
word_freq_857,Feature,Continuous,,,,no
word_freq_data,Feature,Continuous,,,,no
word_freq_415,Feature,Continuous,,,,no
word_freq_85,Feature,Continuous,,,,no
word_freq_technology,Feature,Continuous,,,,no
word_freq_1999,Feature,Continuous,,,,no
word_freq_parts,Feature,Continuous,,,,no
word_freq_pm,Feature,Continuous,,,,no
word_freq_direct,Feature,Continuous,,,,no
word_freq_cs,Feature,Continuous,,,,no
word_freq_meeting,Feature,Continuous,,,,no
word_freq_original,Feature,Continuous,,,,no
word_freq_project,Feature,Continuous,,,,no
word_freq_re,Feature,Continuous,,,,no
word_freq_edu,Feature,Continuous,,,,no
word_freq_table,Feature,Continuous,,,,no
word_freq_conference,Feature,Continuous,,,,no
char_freq_;,Feature,Continuous,,,,no
char_freq_(,Feature,Continuous,,,,no
char_freq_[,Feature,Continuous,,,,no
char_freq_!,Feature,Continuous,,,,no
char_freq_$,Feature,Continuous,,,,no
char_freq_#,Feature,Continuous,,,,no
capital_run_length_average,Feature,Continuous,,,,no
capital_run_length_longest,Feature,Continuous,,,,no
capital_run_length_total,Feature,Continuous,,,,no
Class,Target,Binary,,spam (1) or not spam (0),,no
